SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Specials Comp,ADL Suppliers,MEL Suppliers
3468031P,Coles,Natures Kitchen Lentil Spag Bolognese,"Dairy, Eggs & Meals",7.0,7.0,0.0,350g,350g,$pecials,$pecials,True,"['958543 JEWEL OF INDIA ENTERPRISES P/L (', '979047 CHEF FRESH PTY LTD (JFF) (CB)']","['958543 JEWEL OF INDIA ENTERPRISES P/L (', '979047 CHEF FRESH PTY LTD (JFF) (CB)']"
2649234P,Guylian,Assortment Belgian Chocolates,Pantry,18.0,18.0,0.0,305g,305g,,,True,['945407 STUART ALEXANDER (CONFECTIONERY)'],['945407 STUART ALEXANDER (CONFECTIONERY)']
8416240P,Heinz,Big Red Tomato Soup Can,Pantry,3.65,3.65,0.0,820g,820g,,,True,['22161 HJ HEINZ CO AUST LTD'],['22161 HJ HEINZ CO AUST LTD']
2592829P,Jack Daniels,Double Jack & Cola Can 375mL,Liquor,62.0,59.0,3.0,10 pack,10 pack,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
324217P,Coles,Smart Buy Hair Spray,Health & Beauty,2.2,2.2,0.0,250g,250g,,,True,"['655091 AARON LABO', '632775 MULTI-FILL P/L HOUSEBRAND']","['655091 AARON LABO', '632775 MULTI-FILL P/L HOUSEBRAND']"
5143435P,Nivea,Moisturising Day Face Cream Fluid Spf15,Health & Beauty,5.35,5.35,0.0,50mL,50mL,$pecials,$pecials,True,['936507 BEIERSDORF AUST LTD'],['936507 BEIERSDORF AUST LTD']
3716508P,Peters,Connoisseur Strawberry Ice Cream,Frozen,11.0,11.0,0.0,1L,1L,,,True,['968585 PETERS ICE CREAM'],['968585 PETERS ICE CREAM']
5430233P,Earth Choice,Pure Soft Fabric Softener,Household,2.0,2.0,0.0,1L,1L,,,True,['653217 NATURES ORGANICS P/L'],['653217 NATURES ORGANICS P/L']
3116216P,Cook & Dine,Corkscrew,Household,3.0,3.0,0.0,1 each,1 each,,,True,"['945707 GLOBALEYES DISTRIBUTION P/L (XDO', '970149 Globaleyes Distribution (COLESBR', '975760 GLOBALEYES DISTRIBUTION PTY LTD']","['945707 GLOBALEYES DISTRIBUTION P/L (XDO', '970149 Globaleyes Distribution (COLESBR', '975760 GLOBALEYES DISTRIBUTION PTY LTD']"
3671057P,Grillman,BBQ Aluminium Large Roasting Trays,Household,4.8,4.8,0.0,2 pack,2 pack,$pecials,$pecials,True,['972884 MAYO HARDWARE PTY LTD'],['972884 MAYO HARDWARE PTY LTD']
3815930P,Tuckers,Natural Artisan Crackers Seeded,Pantry,3.2,3.2,0.0,100g,100g,$pecials,$pecials,True,['933199 FOOD SERV SOLUTIONS P/L'],['933199 FOOD SERV SOLUTIONS P/L']
2350546P,Cadbury,Old Gold Peppermint Dark Chocolate Block,Pantry,5.0,5.0,0.0,180g,180g,,,True,['618748 CADBURY P/L'],['618748 CADBURY P/L']
2511226P,Always Fresh,Flat Anchovies In Olive Oil,Pantry,4.5,4.5,0.0,100g,100g,$pecials,$pecials,True,['633534 RIVIANA FOODS P/L'],['633534 RIVIANA FOODS P/L']
93726P,Massel,Beef Style Stock Cubes,Pantry,2.5,2.5,0.0,105g,105g,$pecials,$pecials,True,['426105 MASSEL AUST P/L'],['426105 MASSEL AUST P/L']
3234154P,Laucke,CWA Scone Mix,Pantry,5.15,5.15,0.0,1kg,1kg,$pecials,$pecials,True,['928995 LAUCKE FLOUR MILLS'],['928995 LAUCKE FLOUR MILLS']
3530292P,Prima,Tropical Fruit Drink Multipack 200mL,Back to School,2.5,2.5,0.0,6 pack,6 pack,,,True,"['656186 COLES SUPERMARKETS (EXP)', '4111 LD & D AUST P/L']","['656186 COLES SUPERMARKETS (EXP)', '4111 LD & D AUST P/L']"
8211473P,Coles,Sunflower Oil,Pantry,9.75,9.75,0.0,4L,4L,,,True,"['972597 100% BOTTLING COMPANY P/L (CB)', '145823 OVERSEAS SUPPLIER', '962144 WILMAR TRADING (CHINA) PTE LTD', '974355 WILMAR TRADING (ASIA) PTE LTD']","['972597 100% BOTTLING COMPANY P/L (CB)', '145823 OVERSEAS SUPPLIER', '962144 WILMAR TRADING (CHINA) PTE LTD', '974355 WILMAR TRADING (ASIA) PTE LTD']"
3231098P,Coles,5 Brown Rice Pouches,Pantry,4.0,4.0,0.0,625g,625g,,,True,"['AIR GUITAR AUSTRALIA', '964590 AUSTRALIA INTERNATIONAL P/L (HOU', '951699 AIR GUITAR AUSTRALIA']","['AIR GUITAR AUSTRALIA', '964590 AUSTRALIA INTERNATIONAL P/L (HOU', '951699 AIR GUITAR AUSTRALIA']"
6446261P,Radox,Oxygen Body Wash,Health & Beauty,2.0,2.0,0.0,50mL,50mL,,,True,"['633399 SARALEE HOUSEHOLD & BODYCARE (AU', '26867 UNILEVER A/ASIA HOME &PERSONAL C']","['633399 SARALEE HOUSEHOLD & BODYCARE (AU', '26867 UNILEVER A/ASIA HOME &PERSONAL C']"
5252500P,Chaokoh,Young Sweet Corn,International Foods,2.0,2.0,0.0,425g,425g,,,True,['641316 ORIENTAL MERCHANT P/L'],['641316 ORIENTAL MERCHANT P/L']
1974116P,Pine O Cleen,Multi Purpose Trigger Spray Crisp Apple,Household,3.5,3.5,0.0,750mL,750mL,$pecials,$pecials,True,"['672882 RECKITT BENCKISER (AUST) P/L', '975782 RB (HYGIENE HOME) AUSTRALIA PTY']","['672882 RECKITT BENCKISER (AUST) P/L', '975782 RB (HYGIENE HOME) AUSTRALIA PTY']"
3558371P,The Wholesome Food Company,Organic Blue Corn & Quinoa Chips,Pantry,2.5,2.5,0.0,150g,150g,$pecials,$pecials,True,"['971606 YARRA VALLEY SNACKFOODS PTY LTD', '636541 SNACK BRANDS AUSTRALIA']","['971606 YARRA VALLEY SNACKFOODS PTY LTD', '636541 SNACK BRANDS AUSTRALIA']"
3757549P,Mainland,On The Go Lunch Pack Cheese & Balsamic Beetroot,Back to School,4.0,4.0,0.0,110g,110g,$pecials,$pecials,True,['322385 FONTERRA BRANDS (AUST) P/L'],['322385 FONTERRA BRANDS (AUST) P/L']
126100P,Campbell's,Beef Spaghetti Bolognese Original Recipe Pasta Sauce,Pantry,2.8,2.8,0.0,410g,410g,,,True,['9270 CAMPBELL A'],['9270 CAMPBELL A']
3022484P,Duracell,3V Lithium Batteries 2032,Household,12.0,12.0,0.0,4 pack,4 pack,,,True,"['971976 STUART ALEXANDER & CO PTY LTD', '975409 PENTAL PRODUCTS PTY LTD']","['971976 STUART ALEXANDER & CO PTY LTD', '975409 PENTAL PRODUCTS PTY LTD']"
1389364P,Aeroplane,Ready To Eat Raspberry Jelly,"Dairy, Eggs & Meals",1.0,1.0,0.0,120g,120g,$pecials,$pecials,True,"['950585 MCCORMICK FOODS AUST P/L(DAIRY A', '32590 MCCORMICK FOODS AUST P/L']","['950585 MCCORMICK FOODS AUST P/L(DAIRY A', '32590 MCCORMICK FOODS AUST P/L']"
5080812P,Coon,Light 'N Tasty Cheese Block,"Dairy, Eggs & Meals",5.7,5.7,0.0,500g,500g,$pecials,$pecials,True,"['971478 WARRNAMBOOL CHEESE & BUTTER', '609625 DAIRY FARMERS', '265454 LD & D AUST P/L']","['971478 WARRNAMBOOL CHEESE & BUTTER', '609625 DAIRY FARMERS', '265454 LD & D AUST P/L']"
3492932P,Coles,Organic Unsweetened Oat Milk,"Dairy, Eggs & Meals",2.5,2.5,0.0,1L,1L,,,True,['940442 PUREHARVEST (PRIVATE LABEL)'],['940442 PUREHARVEST (PRIVATE LABEL)']
3862930P,Dole,Fruit In Juice,Pantry,2.2,2.2,0.0,432g,432g,,,True,['963410 PAVE BRANDS'],['963410 PAVE BRANDS']
3623484P,Baci,Hazelnut Dark Chocolate Bag,Pantry,7.0,7.0,0.0,125g,125g,,,True,['283215 F MAYER IMPORTS P/L'],['283215 F MAYER IMPORTS P/L']
3613130P,Cadbury,Caramilk Chocolate Family Block,Pantry,3.5,3.5,0.0,180g,180g,$pecials,$pecials,True,['618748 CADBURY P/L'],['618748 CADBURY P/L']
3797995P,Fodmapped,Gluten Free Pumpkin Spinach Fetta Risotto,Pantry,6.5,6.5,0.0,500 GRAM,500 GRAM,,,True,['FODMAPPED FOODS PTY LTD'],['FODMAPPED FOODS PTY LTD']
2351684P,Cadbury,Dream White Chocolate Block,Pantry,3.5,3.5,0.0,180g,180g,$pecials,$pecials,True,['618748 CADBURY P/L'],['618748 CADBURY P/L']
