SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Same Specials,ADL Suppliers,MEL Suppliers
2592829P,Jack Daniels,Double Jack & Cola Can 375mL,Liquor,62.0,59.0,3.0,10 pack,10 pack,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
3468790P,Schweppes,Mexican Lime Signature Soft Drink Bottle 300mL,Summer Entertaining,6.5,6.0,0.5,4 pack,4 pack,,,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
3330715P,Coopers,Pale Ale Can 375mL,Liquor,20.0,21.0,1.0,6 Pack,6 Pack,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
397006P,SPC,Pear Natural Juice Can,Drinks,3.15,3.05,0.10000000000000009,850mL,850mL,,,True,"['41327 SPC ARDMONA OPERATIONS LTD (OB)', '976400 SHEPPARTON PARTNERS COLLECTIVE O']","['41327 SPC ARDMONA OPERATIONS LTD (OB)', '976400 SHEPPARTON PARTNERS COLLECTIVE O']"
3873561P,Smirnoff,Seltzer Raspberry Rose Can 250mL,Summer Entertaining,18.0,17.0,1.0,4 Pack,4 Pack,$pecials,$pecials,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
5433162P,Coles,Baby Peas,Pantry,1.0,0.85,0.15000000000000002,420g,420g,,,True,"['959795 BONDUELLE DEVELOPMENT', '145823 OVERSEAS SUPPLIER']","['959795 BONDUELLE DEVELOPMENT', '145823 OVERSEAS SUPPLIER']"
5824818P,McKenzie's,Bicarbonate Soda Canister,Pantry,4.0,3.95,0.04999999999999982,350g,350g,,,True,['50032 WARD MCKENZIE P/L'],['50032 WARD MCKENZIE P/L']
1263399P,Captain Morgan,Spiced Rum & Cola Can 6% 375mL,Liquor,22.0,20.0,2.0,4 Pack,4 Pack,$pecials,$pecials,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
1848009P,Smirnoff,Ice Double Black Zero Can 375mL,Liquor,20.0,19.0,1.0,4 Pack,4 Pack,$pecials,$pecials,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
1726045P,Powerade,Gold Rush Sports Drink,Drinks,3.65,3.5,0.1499999999999999,600mL,600mL,,,True,"['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']","['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']"
